bandwidth_mhz,angle_deg,no_reflector_dbm,spatial_average_dbm,Center with reflector,Front 10 cm,Back 10 cm,Left 10 cm,Right 10 cm,diff_before_1_db,diff_before_2_db,diff_before_3_db,diff_before_4_db,diff_before_5_db,diff_spatial_average_db
100,0.0,-78.01,-77.84,-78.01,-75.7,-81.29,-75.03,-79.17,0.0,2.3100000000000023,5.590000000000003,6.260000000000005,4.140000000000001,1.3299999999999983
100,30.0,-84.94,-84.34200000000001,-84.94,-84.88,-83.55,-82.92,-85.42,0.0,0.060000000000002274,1.3299999999999983,0.6299999999999955,2.5,1.0779999999999887
100,60.0,-85.59,-85.144,-85.59,-83.82,-86.52,-85.16,-84.63,0.0,1.7700000000000102,2.700000000000003,1.3599999999999994,0.5300000000000011,0.51400000000001
100,90.0,-83.23,-83.562,-83.99,-83.59,-84.0,-84.05,-82.18,0.7599999999999909,0.3999999999999915,0.4099999999999966,0.04999999999999716,1.8699999999999903,1.3819999999999908
100,120.0,-82.09,-81.808,-81.99,-81.29,-81.66,-83.11,-80.99,0.10000000000000853,0.6999999999999886,0.36999999999999034,1.4500000000000028,2.1200000000000045,0.818000000000012
100,150.0,-80.7,-80.436,-81.79,-80.56,-79.41,-81.16,-79.26,1.0900000000000034,1.230000000000004,1.1500000000000057,1.75,1.8999999999999915,1.176000000000002
100,180.0,-73.05,-72.926,-71.46,-74.59,-73.52,-72.05,-73.01,1.5900000000000034,3.1300000000000097,1.0700000000000074,1.4699999999999989,0.960000000000008,0.08400000000000318
100,210.0,-80.66,-80.61999999999999,-80.93,-80.22,-80.74,-81.64,-79.57,0.27000000000001023,0.710000000000008,0.519999999999996,0.9000000000000057,2.0700000000000074,1.0499999999999972
100,240.0,-81.12,-80.838,-80.55,-80.91,-80.45,-81.47,-80.81,0.5700000000000074,0.35999999999999943,0.45999999999999375,1.019999999999996,0.6599999999999966,0.027999999999991587
100,270.0,-80.18,-79.424,-79.16,-81.26,-77.89,-80.13,-78.68,1.0200000000000102,2.1000000000000085,3.3700000000000045,2.239999999999995,1.4499999999999886,0.7439999999999998
100,300.0,-81.79,-81.626,-81.68,-82.92,-81.17,-82.5,-79.86,0.10999999999999943,1.2399999999999949,1.75,1.3299999999999983,2.6400000000000006,1.7660000000000053
100,330.0,-85.96,-85.572,-85.49,-86.55,-84.94,-84.96,-85.92,0.46999999999999886,1.0600000000000023,1.6099999999999994,0.01999999999999602,0.960000000000008,0.347999999999999
100,360.0,-78.01,-77.84,-78.01,-75.7,-81.29,-75.03,-79.17,0.0,2.3100000000000023,5.590000000000003,6.260000000000005,4.140000000000001,1.3299999999999983
